,ATM_ID,Date,Day_of_Week,Time_of_Day,Total_Withdrawals,Total_Deposits,Location_Type,Holiday_Flag,Special_Event_Flag,Previous_Day_Cash_Level,Weather_Condition,Nearby_Competitor_ATMs,Cash_Demand_Next_Day,Cash_Demand_Lag_2,Cash_Demand_Lag_7,Cash_Demand_MA_3,Cash_Demand_MA_7,Withdrawals_MA_7,Net_Cash_Flow,Withdrawal_to_Deposit_Ratio,Cash_Level_Change,Cash_Utilization_Rate
2547,ATM_0023,2023-01-18,Wednesday,Evening,34795,12144,Mall,0,0,70879,Rainy,5,28096,42944.0,49596.0,40876.0,48389.42857142857,52882.42857142857,-22651,2.864965006175381,-32149.0,0.49090703875619013
150,ATM_0023,2023-01-19,Thursday,Night,44585,15796,Bank Branch,0,0,78378,Cloudy,4,25918,51588.0,72687.0,35200.666666666664,41708.142857142855,48178.0,-28789,2.8223713363296827,7499.0,0.5688458496006532
1251,ATM_0023,2023-02-01,Wednesday,Afternoon,40942,7760,Mall,0,0,75703,Snowy,1,35436,28096.0,49767.0,29816.666666666668,39660.857142857145,44905.142857142855,-33182,5.275351114547094,-2675.0,0.5408240096165278
4740,ATM_0023,2023-02-07,Tuesday,Night,27390,3742,Gas Station,0,0,111775,Rainy,2,19742,25918.0,12840.0,27032.0,40646.857142857145,44530.0,-23648,7.317659631311782,36072.0,0.2450458510400358
4103,ATM_0023,2023-02-10,Friday,Evening,48287,13492,Mall,0,0,66919,Cloudy,0,33240,35436.0,80804.0,29472.666666666668,33852.0,41775.857142857145,-34795,3.578670421700141,-44856.0,0.721573843004229
2089,ATM_0023,2023-02-11,Saturday,Afternoon,72869,2866,Gas Station,0,0,109982,Snowy,4,83453,19742.0,42944.0,45478.333333333336,39639.0,45600.42857142857,-70003,25.41646320195326,43063.0,0.6625538724518557
284,ATM_0023,2023-02-13,Monday,Afternoon,50155,3440,Standalone,0,0,78697,Clear,2,45660,33240.0,51588.0,54117.666666666664,38792.142857142855,45574.71428571428,-46715,14.575704736995059,-31285.0,0.6373178138937952
5298,ATM_0023,2023-02-14,Tuesday,Evening,52737,12802,Standalone,0,1,78412,Rainy,0,42786,83453.0,28096.0,57299.666666666664,40890.71428571428,48137.857142857145,-39935,4.119112707959072,-285.0,0.6725628730296384
1744,ATM_0023,2023-02-25,Saturday,Night,32870,10299,Standalone,0,0,67497,Rainy,4,23236,45660.0,25918.0,37227.333333333336,40507.57142857143,46464.28571428572,-22571,3.19126213592233,-10915.0,0.48698460672326177
4495,ATM_0023,2023-02-25,Saturday,Night,52182,14406,Mall,0,0,105328,Snowy,0,40529,42786.0,35436.0,35517.0,41235.142857142855,48070.0,-37776,3.621989310751718,37831.0,0.4954238189275406
1080,ATM_0023,2023-02-26,Sunday,Evening,49227,12515,Mall,0,0,93625,Rainy,1,49863,23236.0,19742.0,37876.0,45538.142857142855,51189.57142857143,-36712,3.933125599232982,-11703.0,0.5257890520694259
4512,ATM_0023,2023-03-03,Friday,Morning,45650,19664,Gas Station,0,0,76167,Rainy,5,40729,40529.0,33240.0,43707.0,46608.0,50812.857142857145,-25986,2.3213831680650903,-17458.0,0.5993409219215671
1008,ATM_0023,2023-03-07,Tuesday,Night,55343,16307,Mall,0,0,86656,Clear,0,43256,49863.0,83453.0,44616.0,40865.57142857143,48309.142857142855,-39036,3.393610497915134,10489.0,0.6386516802067946
4619,ATM_0023,2023-03-07,Tuesday,Evening,51823,13033,Mall,0,0,149009,Rainy,5,49583,40729.0,45660.0,44522.666666666664,41426.0,48547.42857142857,-38790,3.9759858830750345,62353.0,0.34778436201840157
1688,ATM_0023,2023-03-14,Tuesday,Night,88982,1379,Gas Station,0,1,113876,Cloudy,0,91448,43256.0,42786.0,61429.0,48377.71428571428,53725.28571428572,-87603,64.47971014492754,-35133.0,0.7813937967613895
2786,ATM_0023,2023-03-14,Tuesday,Morning,8255,9564,Gas Station,0,0,122817,Rainy,1,0,49583.0,23236.0,47010.333333333336,45058.28571428572,50208.857142857145,1309,0.8630423418714062,8941.0,0.06721382219073907
1732,ATM_0023,2023-03-18,Saturday,Night,40178,7446,Standalone,0,0,101598,Rainy,0,42934,91448.0,40529.0,44794.0,45401.857142857145,48494.0,-32732,5.395192695044985,-21219.0,0.39546054056182206
802,ATM_0023,2023-03-21,Tuesday,Night,68272,15286,Mall,0,0,117443,Rainy,5,65923,0.0,49863.0,36285.666666666664,47696.142857142855,51214.71428571428,-52986,4.466016877085105,15845.0,0.5813203000604549
3404,ATM_0023,2023-04-12,Wednesday,Evening,82140,17197,Gas Station,0,0,85163,Clear,3,81207,42934.0,40729.0,63354.666666666664,53478.71428571428,56427.57142857143,-64943,4.776136760088383,-32280.0,0.9645033641370079
417,ATM_0023,2023-04-14,Friday,Afternoon,33098,18662,Standalone,0,1,144626,Clear,5,26455,65923.0,43256.0,57861.666666666664,51078.57142857143,53249.71428571428,-14436,1.773455500187537,59463.0,0.22885235019982575
5185,ATM_0023,2023-04-20,Thursday,Night,59026,9283,Bank Branch,0,0,131392,Snowy,4,44042,81207.0,49583.0,50568.0,50287.0,54278.71428571428,-49743,6.35781990521327,-13234.0,0.4492358743302484
2310,ATM_0023,2023-05-02,Tuesday,Night,69220,551,Supermarket,0,1,91577,Rainy,0,83657,26455.0,91448.0,51384.666666666664,49174.0,51455.57142857143,-68669,125.39855072463769,-39815.0,0.7558666477390611
5635,ATM_0023,2023-05-03,Wednesday,Afternoon,66321,5615,Mall,0,1,91189,Snowy,1,74190,44042.0,0.0,67296.33333333333,59772.57142857143,59750.71428571428,-60706,11.809294871794872,-388.0,0.7272916689512989
2211,ATM_0023,2023-05-07,Sunday,Evening,55346,9610,Gas Station,0,0,110991,Cloudy,2,50068,83657.0,42934.0,69305.0,60791.71428571428,61917.57142857143,-45736,5.758609926126313,19802.0,0.4986530439404997
1806,ATM_0023,2023-05-11,Thursday,Afternoon,28637,19558,Standalone,0,0,87176,Snowy,5,14891,74190.0,65923.0,46383.0,53501.42857142857,56255.42857142857,-9079,1.4641341581880465,-23815.0,0.3284963751491236
4603,ATM_0023,2023-05-24,Wednesday,Morning,51260,9577,Gas Station,0,0,86945,Rainy,1,40798,50068.0,81207.0,35252.333333333336,47728.71428571428,51844.0,-41683,5.351847984965546,-231.0,0.5895681177756052
4306,ATM_0023,2023-06-03,Saturday,Afternoon,48033,8283,Bank Branch,0,0,107070,Snowy,2,42587,14891.0,26455.0,32758.666666666668,50033.28571428572,53977.57142857143,-39750,5.798285852245292,20125.0,0.4486130568786775
566,ATM_0023,2023-06-04,Sunday,Evening,40634,9077,Bank Branch,0,0,87905,Rainy,2,36735,40798.0,44042.0,40040.0,48989.42857142857,51350.142857142855,-31557,4.476096056400088,-19165.0,0.4622490188271429
2778,ATM_0023,2023-06-19,Monday,Afternoon,67898,8593,Supermarket,0,1,106133,Snowy,3,66170,42587.0,83657.0,48497.333333333336,46491.28571428572,51161.28571428572,-59305,7.900628345357226,18228.0,0.63974447155927
3629,ATM_0023,2023-07-12,Wednesday,Morning,58751,21157,Mall,0,0,92950,Cloudy,2,51942,36735.0,74190.0,51615.666666666664,43313.0,50079.857142857145,-37594,2.776774742414217,-13183.0,0.6320710059171598
2910,ATM_0023,2023-07-29,Saturday,Night,61354,9332,Bank Branch,0,0,89560,Clear,3,42257,66170.0,50068.0,53456.333333333336,42197.142857142855,50938.142857142855,-52022,6.5738776384870885,-3390.0,0.6850602947744528
1935,ATM_0023,2023-08-02,Wednesday,Night,38515,12823,Gas Station,0,1,113689,Clear,2,33871,51942.0,14891.0,42690.0,44908.57142857143,52349.28571428572,-25692,3.003353087960075,24129.0,0.3387750793832297
4732,ATM_0023,2023-08-14,Monday,Morning,33976,12697,Bank Branch,0,0,106383,Snowy,3,27700,42257.0,40798.0,34609.333333333336,43037.42857142857,49880.142857142855,-21279,2.675696960151205,-7306.0,0.3193743361251328
3798,ATM_0023,2023-08-20,Sunday,Night,59807,3246,Standalone,0,0,117241,Rainy,4,57153,33871.0,42587.0,39574.666666666664,45118.28571428572,51562.142857142855,-56561,18.419156144133044,10858.0,0.5101201798005817
503,ATM_0023,2023-08-22,Tuesday,Afternoon,96648,12672,Bank Branch,0,0,117753,Rainy,2,95672,27700.0,36735.0,60175.0,53537.857142857145,59564.142857142855,-83976,7.626292117099345,512.0,0.8207688976077042
5413,ATM_0023,2023-09-11,Monday,Morning,36482,14728,Gas Station,0,1,121787,Rainy,5,32449,57153.0,66170.0,61758.0,48720.57142857143,55076.142857142855,-21754,2.4768823409600107,4034.0,0.2995557818157931
1132,ATM_0023,2023-09-13,Wednesday,Morning,40468,9793,Mall,0,0,111120,Cloudy,2,33349,95672.0,51942.0,53823.333333333336,46064.42857142857,52464.28571428572,-30675,4.131917500510516,-10667.0,0.3641828653707703
1436,ATM_0023,2023-09-13,Wednesday,Afternoon,73912,10517,Mall,0,0,128623,Clear,1,71557,32449.0,42257.0,45785.0,50250.142857142855,54258.28571428572,-63395,7.027191481270203,17503.0,0.5746406163749873
3820,ATM_0023,2023-09-25,Monday,Morning,56184,6919,Mall,0,0,116990,Cloudy,4,40531,33349.0,33871.0,48479.0,51201.57142857143,56782.42857142857,-49265,8.11907514450867,-11633.0,0.4802461748867425
5332,ATM_0023,2023-09-30,Saturday,Evening,39855,0,Standalone,0,1,115293,Rainy,0,51494,71557.0,27700.0,54527.333333333336,54600.71428571428,57622.28571428572,-39855,39855.0,-1697.0,0.3456844734719367
60,ATM_0023,2023-10-19,Thursday,Night,67447,10051,Supermarket,0,0,80369,Clear,0,47607,40531.0,57153.0,46544.0,53237.0,58713.71428571428,-57396,6.709808993235177,-34924.0,0.8392166133708271
4037,ATM_0023,2023-10-22,Sunday,Morning,58525,6901,Supermarket,0,0,115048,Snowy,3,43646,51494.0,95672.0,47582.333333333336,45804.71428571428,53267.57142857143,-51624,8.479426253259925,34679.0,0.508700716222794
4089,ATM_0023,2023-10-26,Thursday,Morning,48816,6082,Mall,0,0,82348,Cloudy,3,54711,47607.0,32449.0,48654.666666666664,48985.0,55029.57142857143,-42734,8.024987670557291,-32700.0,0.5928012823626561
1201,ATM_0023,2023-10-27,Friday,Night,62626,8864,Bank Branch,0,0,97164,Clear,0,66358,43646.0,33349.0,54905.0,53700.57142857143,58195.0,-53762,7.064410603496898,14816.0,0.6445391297188259
3461,ATM_0023,2023-10-30,Monday,Morning,72322,8910,Standalone,0,1,87107,Cloudy,0,76285,54711.0,71557.0,65784.66666666667,54376.0,57967.857142857145,-63412,8.116036359555606,-10057.0,0.8302662242988509
3025,ATM_0023,2023-11-07,Tuesday,Afternoon,36790,16912,Bank Branch,0,0,73113,Rainy,5,18246,66358.0,40531.0,53629.666666666664,51192.42857142857,55197.28571428572,-19878,2.175249807840123,-13994.0,0.5031936864853036
4862,ATM_0023,2023-11-13,Monday,Evening,21817,10884,Supermarket,0,0,147006,Rainy,5,12413,76285.0,51494.0,35648.0,45609.42857142857,52620.42857142857,-10933,2.00431786862655,73893.0,0.148408908479926
709,ATM_0023,2023-11-17,Friday,Night,71545,5476,Gas Station,0,0,123455,Clear,5,72006,18246.0,47607.0,34221.666666666664,49095.0,53205.857142857145,-66069,13.062808106627715,-23551.0,0.5795229030820946
624,ATM_0023,2023-11-20,Monday,Afternoon,18694,7076,Bank Branch,0,0,99378,Snowy,5,18160,12413.0,43646.0,34193.0,45454.142857142855,47515.71428571428,-11618,2.641514766143846,-24077.0,0.18811004447664473
2079,ATM_0023,2023-12-01,Friday,Evening,61009,8414,Standalone,1,1,83931,Rainy,2,72658,72006.0,54711.0,54274.666666666664,48018.0,49257.57142857143,-52595,7.250029708853238,-15447.0,0.726894711131763
824,ATM_0023,2023-12-02,Saturday,Evening,52715,16516,Standalone,0,0,111723,Rainy,4,30421,18160.0,66358.0,40413.0,42884.142857142855,47841.71428571428,-36199,3.1915602106920145,27792.0,0.47183659586656285
3965,ATM_0023,2023-12-02,Saturday,Afternoon,56650,13446,Supermarket,0,0,96812,Cloudy,3,53831,72658.0,76285.0,52303.333333333336,39676.42857142857,45602.857142857145,-43204,4.212835576708559,-14911.0,0.5851547328843532
5201,ATM_0023,2023-12-26,Tuesday,Night,51814,6207,Standalone,0,0,121168,Rainy,1,54835,30421.0,18246.0,46362.333333333336,44903.42857142857,47749.142857142855,-45607,8.34632731958763,24356.0,0.42762115410009244
1617,ATM_0023,2023-12-27,Wednesday,Evening,26645,12306,Gas Station,0,0,81512,Cloudy,3,22519,53831.0,12413.0,43728.333333333336,46347.142857142855,48438.857142857145,-14339,2.1650280328268465,-39656.0,0.32688438512120915
1471,ATM_0023,2023-12-28,Thursday,Afternoon,34581,1446,Mall,0,0,92138,Clear,1,32099,54835.0,72006.0,36484.333333333336,40646.142857142855,43158.28571428572,-33135,23.898410504492052,10626.0,0.3753174585947166
1485,ATM_0023,2023-12-30,Saturday,Night,60427,12208,Bank Branch,0,0,71325,Clear,1,48476,22519.0,18160.0,34364.666666666664,44977.0,49120.142857142855,-48219,4.94938160373495,-20813.0,0.8472064493515598
1278,ATM_0024,2022-01-09,Sunday,Afternoon,55375,4017,Mall,0,0,70129,Clear,3,46263,,,,,,-51358,13.781732205077153,-1196.0,0.7896162785723453
3105,ATM_0024,2022-01-11,Tuesday,Night,55096,12436,Gas Station,0,0,115854,Cloudy,4,45157,,,,,,-42660,4.430007236471818,45725.0,0.47556407202168244
3001,ATM_0024,2022-01-23,Sunday,Morning,32858,5385,Supermarket,0,0,101878,Snowy,4,26359,46263.0,,39259.666666666664,,,-27473,6.100631266245823,-13976.0,0.32252301772708536
4187,ATM_0024,2022-01-29,Saturday,Evening,90600,10374,Mall,0,0,105470,Cloudy,0,98977,45157.0,,56831.0,,,-80226,8.732530120481927,3592.0,0.8590120413387693
1867,ATM_0024,2022-01-30,Sunday,Afternoon,47029,7818,Bank Branch,0,0,120962,Rainy,0,44633,26359.0,,56656.333333333336,,,-39211,6.014707763141066,15492.0,0.38879152130421124
4655,ATM_0024,2022-02-12,Saturday,Afternoon,49086,8681,Mall,0,0,111158,Clear,4,44332,98977.0,,62647.333333333336,,,-40405,5.653766413268832,-9804.0,0.4415876500116951
4407,ATM_0024,2022-02-13,Sunday,Afternoon,46575,13436,Mall,0,0,128750,Snowy,2,44574,44633.0,,44513.0,50042.142857142855,53802.71428571428,-33139,3.466175485599464,17592.0,0.361747572815534
4105,ATM_0024,2022-02-14,Monday,Morning,55092,14706,Supermarket,0,0,88217,Snowy,4,52623,44332.0,46263.0,47176.333333333336,50950.71428571428,53762.28571428572,-40386,3.74597130618073,-40533.0,0.6245054808030198
1915,ATM_0024,2022-02-21,Monday,Evening,61509,10424,Standalone,0,0,113712,Snowy,0,53670,44574.0,45157.0,50289.0,52166.857142857145,54678.42857142857,-51085,5.900143884892087,25495.0,0.5409191642043056
612,ATM_0024,2022-02-25,Friday,Afternoon,77488,14070,Gas Station,0,0,109641,Cloudy,5,60899,52623.0,26359.0,55730.666666666664,57101.142857142855,61054.142857142855,-63418,5.506929145050103,-4071.0,0.7067429155151813
247,ATM_0024,2022-03-11,Friday,Morning,70635,9134,Gas Station,0,0,100311,Clear,5,59438,53670.0,98977.0,58002.333333333336,51452.71428571428,58202.0,-61501,7.732348111658457,-9330.0,0.7041600622065377
4646,ATM_0024,2022-03-22,Tuesday,Evening,39744,10995,Supermarket,0,0,71748,Clear,2,25543,60899.0,44633.0,48626.666666666664,48725.57142857143,57161.28571428572,-28749,3.614405238268461,-28563.0,0.5539387857501255
4751,ATM_0024,2022-03-24,Thursday,Morning,39556,14998,Supermarket,0,0,95759,Snowy,5,32159,59438.0,44332.0,39046.666666666664,46986.57142857143,55799.857142857145,-24558,2.637242482832189,24011.0,0.41307866623502754
5085,ATM_0024,2022-03-24,Thursday,Morning,36759,4598,Bank Branch,0,0,128294,Cloudy,3,36900,25543.0,44574.0,31534.0,45890.28571428572,54397.57142857143,-32161,7.992824527071102,32535.0,0.2865215832384991
4599,ATM_0024,2022-03-31,Thursday,Afternoon,66063,11483,Standalone,0,0,115971,Clear,3,59505,32159.0,52623.0,42854.666666666664,46873.42857142857,55964.857142857145,-54580,5.752612330198537,-12323.0,0.5696510334480172
3932,ATM_0024,2022-04-15,Friday,Morning,31938,4692,Bank Branch,0,0,102312,Clear,2,31610,36900.0,53670.0,42671.666666666664,43722.0,51740.42857142857,-27246,6.805454932878756,-13659.0,0.31216279615294396
697,ATM_0024,2022-04-20,Wednesday,Afternoon,39845,14501,Gas Station,0,0,109024,Snowy,2,24889,59505.0,60899.0,38668.0,38577.71428571428,46362.857142857145,-25344,2.7475520617845812,6712.0,0.3654699882594658
3754,ATM_0024,2022-04-27,Wednesday,Evening,32324,4519,Mall,0,0,83939,Cloudy,5,27534,31610.0,59438.0,28011.0,34020.0,40889.857142857145,-27805,7.151327433628318,-25085.0,0.38508917189864067
1615,ATM_0024,2022-04-28,Thursday,Afternoon,46281,4329,Mall,0,0,120583,Rainy,0,44573,24889.0,25543.0,32332.0,36738.57142857143,41823.71428571428,-41952,10.688452655889146,36644.0,0.3838103215212758
4000,ATM_0024,2022-05-04,Wednesday,Morning,70860,8419,Standalone,0,0,80677,Rainy,2,62691,27534.0,32159.0,44932.666666666664,41100.28571428572,46295.71428571428,-62441,8.415676959619953,-39906.0,0.8783172403535084
466,ATM_0024,2022-05-10,Tuesday,Evening,52471,10254,Mall,0,0,103466,Clear,2,50880,44573.0,36900.0,52714.666666666664,43097.42857142857,48540.28571428572,-42217,5.116626036079961,22789.0,0.5071327779173835
161,ATM_0024,2022-05-15,Sunday,Morning,50391,10933,Standalone,0,0,84892,Cloudy,1,37663,62691.0,59505.0,50411.333333333336,39977.142857142855,46301.42857142857,-39458,4.6086519114688125,-18574.0,0.5935895019554257
1540,ATM_0024,2022-05-25,Wednesday,Morning,68087,5316,Bank Branch,0,0,72558,Cloudy,1,70646,50880.0,31610.0,53063.0,45553.71428571428,51465.57142857143,-62771,12.805529433891293,-12334.0,0.9383803302185838
1991,ATM_0024,2022-05-29,Sunday,Evening,50668,15524,Standalone,0,0,92449,Snowy,3,45771,37663.0,24889.0,51360.0,48536.857142857145,53011.71428571428,-35144,3.2636392914653785,19891.0,0.5480643381756428
4070,ATM_0024,2022-05-30,Monday,Afternoon,49329,8056,Standalone,0,0,90599,Snowy,2,43617,70646.0,27534.0,53344.666666666664,50834.42857142857,55441.0,-41273,6.122502172024327,-1850.0,0.5444762083466705
4969,ATM_0024,2022-06-11,Saturday,Afternoon,67564,9784,Mall,0,0,87868,Clear,5,58886,45771.0,44573.0,49424.666666666664,52879.142857142855,58481.42857142857,-57780,6.904854368932039,-2731.0,0.7689261164473984
1862,ATM_0024,2022-07-03,Sunday,Morning,47826,12029,Bank Branch,0,0,100327,Rainy,0,28056,43617.0,62691.0,43519.666666666664,47931.28571428572,55190.857142857145,-35797,3.975561097256858,12459.0,0.47670118711812376
1015,ATM_0024,2022-07-08,Friday,Afternoon,82323,11230,Supermarket,0,0,83954,Snowy,2,70590,58886.0,50880.0,52510.666666666664,50747.0,59455.42857142857,-71093,7.329979520968747,-16373.0,0.9805726945708364
754,ATM_0024,2022-07-13,Wednesday,Night,50783,4696,Supermarket,0,0,85659,Rainy,1,56771,28056.0,37663.0,51805.666666666664,53476.71428571428,59511.42857142857,-46087,10.811794762614435,1705.0,0.592850722049055
3302,ATM_0024,2022-07-21,Thursday,Night,42073,5098,Supermarket,0,0,74648,Clear,2,30624,70590.0,70646.0,52661.666666666664,47759.28571428572,55795.142857142855,-36975,8.251225730535399,-11011.0,0.5636185832172329
5329,ATM_0024,2022-07-22,Friday,Morning,62686,1636,Standalone,0,0,101160,Clear,5,71343,56771.0,45771.0,52912.666666666664,51412.42857142857,57512.0,-61050,38.293219303604154,26512.0,0.6196718070383551
1064,ATM_0024,2022-07-23,Saturday,Evening,64906,16869,Bank Branch,0,0,82952,Cloudy,0,42707,30624.0,43617.0,48224.666666666664,51282.42857142857,59737.28571428572,-48037,3.84742145820984,-18208.0,0.7824525026521362
3343,ATM_0024,2022-07-28,Thursday,Evening,41579,10199,Bank Branch,0,0,115669,Cloudy,0,30001,71343.0,58886.0,48017.0,47156.0,56025.142857142855,-31380,4.076372549019608,32717.0,0.3594653710155703
5607,ATM_0024,2022-08-01,Monday,Night,62096,5727,Gas Station,0,0,65448,Snowy,5,62956,42707.0,28056.0,45221.333333333336,52141.71428571428,58063.71428571428,-56369,10.840782122905027,-50221.0,0.9487837672656154
2665,ATM_0024,2022-08-04,Thursday,Night,58150,9217,Standalone,0,0,88965,Snowy,3,49892,30001.0,70590.0,47616.333333333336,49184.857142857145,54610.42857142857,-48933,6.308309828596225,23517.0,0.653627831169561
784,ATM_0024,2022-08-15,Monday,Morning,38302,15409,Mall,0,1,73008,Rainy,5,39924,62956.0,56771.0,50924.0,46778.142857142855,52827.42857142857,-22893,2.4855288773523685,-15957.0,0.5246274380889766
2902,ATM_0024,2022-08-21,Sunday,Night,38836,5871,Mall,0,0,127421,Rainy,1,37952,49892.0,30624.0,42589.333333333336,47825.0,52365.0,-32965,6.613760217983652,54413.0,0.3047849255617206
3292,ATM_0024,2022-09-03,Saturday,Morning,60257,3567,Mall,0,0,129459,Snowy,0,52671,39924.0,71343.0,43515.666666666664,45157.57142857143,52018.0,-56690,16.88817264573991,2038.0,0.46545238260762095
2186,ATM_0024,2022-09-16,Friday,Afternoon,33433,12167,Supermarket,0,0,95548,Clear,3,20198,37952.0,42707.0,36940.333333333336,41942.0,47521.857142857145,-21266,2.7476166995397766,-33911.0,0.34990789969439445
3420,ATM_0024,2022-09-23,Friday,Afternoon,38998,9944,Gas Station,0,0,84595,Clear,5,33011,52671.0,30001.0,35293.333333333336,42372.0,47153.142857142855,-29054,3.921367521367521,-10953.0,0.4609965127962646
5602,ATM_0024,2022-09-23,Friday,Evening,37072,6384,Bank Branch,0,0,122321,Snowy,5,33548,20198.0,62956.0,28919.0,38170.857142857145,43578.28571428572,-30688,5.80610806577917,37726.0,0.3030714268195976
2358,ATM_0024,2022-09-24,Saturday,Night,37560,12957,Bank Branch,0,0,92375,Rainy,0,29201,33011.0,49892.0,31920.0,35215.0,40636.857142857145,-24603,2.898595462262695,-29946.0,0.4066035182679296
4571,ATM_0024,2022-09-25,Sunday,Afternoon,61791,17383,Mall,0,0,85567,Rainy,0,46528,33548.0,39924.0,36425.666666666664,36158.42857142857,43992.42857142857,-44408,3.554475379659457,-6808.0,0.7221358701368519
386,ATM_0024,2022-10-04,Tuesday,Morning,82564,9120,Bank Branch,0,0,102464,Cloudy,3,83740,29201.0,37952.0,53156.333333333336,42699.57142857143,50239.28571428572,-73444,9.052077623067646,16897.0,0.8057854465958776
2801,ATM_0024,2022-10-13,Thursday,Evening,32444,15945,Gas Station,0,0,135122,Clear,4,20601,46528.0,52671.0,50289.666666666664,38118.142857142855,46266.0,-16499,2.03461683180735,32658.0,0.24010893858883084
4633,ATM_0024,2022-10-25,Tuesday,Evening,43159,10595,Standalone,0,0,88919,Clear,2,37142,83740.0,20198.0,47161.0,40538.71428571428,47655.42857142857,-32564,4.0731408078520195,-46203.0,0.4853743294459002
3468,ATM_0024,2022-11-03,Thursday,Afternoon,83609,5937,Supermarket,0,0,83450,Snowy,4,81630,20601.0,33011.0,46457.666666666664,47484.28571428572,54028.42857142857,-77672,14.08033007746716,-5469.0,1.0019053325344518
22,ATM_0024,2022-11-11,Friday,Afternoon,44859,5988,Mall,0,0,96774,Clear,0,40097,37142.0,33548.0,52956.333333333336,48419.857142857145,55140.857142857145,-38871,7.490232092168976,13324.0,0.4635439270878542
2026,ATM_0024,2022-11-14,Monday,Morning,28317,11809,Gas Station,0,1,84051,Snowy,1,30316,81630.0,29201.0,50681.0,48579.142857142855,53820.42857142857,-16508,2.397713801862828,-12723.0,0.3369025948531249
3046,ATM_0024,2022-11-23,Wednesday,Evening,69725,7151,Supermarket,0,0,108053,Rainy,5,72668,40097.0,46528.0,47693.666666666664,52313.42857142857,54953.857142857145,-62574,9.749021252796421,24002.0,0.6452851841226065
4819,ATM_0024,2022-11-28,Monday,Evening,51294,1969,Supermarket,0,0,111305,Rainy,3,48569,30316.0,83740.0,50517.666666666664,47289.0,50486.71428571428,-49325,26.03756345177665,3252.0,0.46084183100489645
3018,ATM_0024,2022-11-30,Wednesday,Morning,52205,15685,Mall,0,0,81774,Rainy,3,36380,72668.0,20601.0,52539.0,49543.142857142855,53309.71428571428,-36520,3.328126992222364,-29531.0,0.6384058502702571
1768,ATM_0024,2022-12-10,Saturday,Night,54217,19162,Standalone,0,0,69394,Snowy,4,47266,48569.0,37142.0,44071.666666666664,50989.42857142857,54889.42857142857,-35055,2.82925429212545,-12380.0,0.7812923307490561
5317,ATM_0024,2022-12-21,Wednesday,Evening,30220,13812,Supermarket,0,0,131238,Rainy,2,19670,36380.0,81630.0,34438.666666666664,42138.0,47262.42857142857,-16408,2.1877941070006517,61844.0,0.23026867218336153
1079,ATM_0024,2022-12-24,Saturday,Morning,68796,11634,Standalone,1,0,72214,Cloudy,2,75584,47266.0,40097.0,47506.666666666664,47207.57142857143,50682.0,-57162,5.912849162011173,-59024.0,0.9526684576397928
3071,ATM_0024,2022-12-25,Sunday,Morning,63791,9608,Bank Branch,1,0,104610,Cloudy,3,75286,19670.0,30316.0,56846.666666666664,53631.857142857145,55749.71428571428,-54183,6.638672078259964,32396.0,0.6097982984418315
9,ATM_0024,2022-12-30,Friday,Afternoon,52570,9421,Standalone,0,0,93977,Clear,4,44240,75584.0,72668.0,65036.666666666664,49570.71428571428,53299.0,-43149,5.579494799405646,-10633.0,0.5593921917064814
736,ATM_0024,2023-01-04,Wednesday,Evening,62924,10695,Standalone,0,0,68460,Clear,2,47792,75286.0,48569.0,55772.666666666664,49459.71428571428,54960.42857142857,-52229,5.882946896035901,-25517.0,0.9191352614665498
1489,ATM_0024,2023-01-06,Friday,Evening,49815,12211,Bank Branch,0,0,84985,Rainy,4,43503,44240.0,36380.0,45178.333333333336,50477.28571428572,54619.0,-37604,4.079184408778251,16525.0,0.5861622639289287
1903,ATM_0024,2023-01-06,Friday,Evening,44367,7513,Supermarket,0,0,105881,Cloudy,0,43745,47792.0,47266.0,45013.333333333336,49974.28571428572,53211.857142857145,-36854,5.904578120841097,20896.0,0.4190270209008226
4414,ATM_0024,2023-01-15,Sunday,Morning,53443,8808,Bank Branch,0,0,97616,Snowy,2,38362,43503.0,19670.0,41870.0,52644.57142857143,56529.42857142857,-44635,6.066863435123169,-8265.0,0.5474819701688248
1967,ATM_0024,2023-01-23,Monday,Night,48275,9489,Bank Branch,0,0,100751,Cloudy,1,33194,43745.0,75584.0,38433.666666666664,46588.857142857145,53597.857142857145,-38786,5.086933614330874,3135.0,0.47915157169655886
5168,ATM_0024,2023-01-23,Monday,Afternoon,53858,10955,Gas Station,0,0,85301,Snowy,0,38494,38362.0,75286.0,36683.333333333336,41332.857142857145,52178.857142857145,-42903,4.915845198977729,-15450.0,0.631387674235941
1648,ATM_0024,2023-01-30,Monday,Night,17706,9846,Supermarket,0,0,88761,Cloudy,1,5574,33194.0,44240.0,25754.0,35809.142857142855,47198.28571428572,-7860,1.7981110998273586,3460.0,0.19947950113225402
3045,ATM_0024,2023-01-31,Tuesday,Morning,40352,14402,Standalone,1,0,106661,Cloudy,0,41941,38494.0,47792.0,28669.666666666668,34973.28571428572,43973.71428571428,-25950,2.801638547524821,17900.0,0.3783200982552198
675,ATM_0024,2023-02-02,Thursday,Night,58697,18247,Gas Station,0,0,121412,Clear,5,52890,5574.0,43503.0,33468.333333333336,36314.28571428572,45242.57142857143,-40450,3.216626479614204,14751.0,0.4834530359437288
